Commune,Site,Code,LAT,LON,code.new
Ankatafana,Ampangalana Sud,S1,-21.3042,48.3337,MNJ.06
Ankatafana,Ambalavontaka,S2,-21.3253,48.3270,MNJ.07
Ankatafana,Manampano,S3,-21.3775,48.3142,MNJ.08
Namorana,Ambinany Tanambao,S5,-21.6158,48.2318,MNJ.09
Namorana,Masindranokely,S6,-21.6598,48.2127,MNJ.10
Mahatsara Sud,Ampandimana,N1,-21.0886,48.4058,MNJ.05
Mahela,Anosibe,N2,-21.0419,48.3953,MNJ.04
Mahela,Ambodimanga,N3,-21.0245,48.4051,MNJ.03
Mahela,Ampasimanjeva,N4,-20.9705,48.4010,MNJ.02
Ambohitsara Est,Mahavelona,N5,-20.8305,48.4091,MNJ.01
NA,Mananjary Ville,MNJ,-21.2357,48.3488,Mananjary
