full.code,unique_ind_id,hh_id,site_code,date,time_point,skip_eating_days,reduce_meals_days,hunt_days,gather_days,restrict_nonworkers,restrict_children,restrict_adults,limit_portions,send_beg,send_to_others,consume_stock,harvest_early,purchase_on_credit,borrow_food,less_preferred
N1.01.01.T01,N1.01.01,N1.01,N1,2021-10-17,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N1.01.01.T02,N1.01.01,N1.01,N1,2021-12-13,T02,0,0,1,0,2,2,2,2,0,1,0,0,0,0,0
N1.01.01.T03,N1.01.01,N1.01,N1,2022-02-01,T03,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
N1.01.02.T04,N1.01.02,N1.01,N1,2022-05-05,T04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.01.01.T05,N1.01.01,N1.01,N1,2022-06-20,T05,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.01.01.T06,N1.01.01,N1.01,N1,2022-08-14,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.01.02.T07,N1.01.02,N1.01,N1,2022-09-16,T07,0,2,0,0,3,0,0,6,0,0,0,0,1,0,3
N1.01.02.T08,N1.01.02,N1.01,N1,2022-11-04,T08,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5
N1.01.01.T09,N1.01.01,N1.01,N1,2022-12-18,T09,0,3,0,0,0,0,0,7,0,0,0,0,2,0,0
N1.01.01.T10,N1.01.01,N1.01,N1,2023-02-21,T10,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
N1.01.01.T10,N1.01.01,N1.01,N1,2023-03-05,T10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.01.02.T11,N1.01.02,N1.01,N1,2023-04-25,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.02.01.T01,N1.02.01,N1.02,N1,2021-10-17,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.02.01.T02,N1.02.01,N1.02,N1,2021-12-13,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.02.01.T03,N1.02.01,N1.02,N1,2022-02-01,T03,0,0,0,0,0,2,0,3,0,0,0,0,0,0,6
N1.02.01.T04,N1.02.01,N1.02,N1,2022-05-05,T04,0,3,0,1,0,0,0,2,0,0,0,0,0,0,3
N1.02.01.T05,N1.02.01,N1.02,N1,2022-06-20,T05,0,3,0,0,0,0,0,4,0,0,1,0,0,0,4
N1.02.01.T06,N1.02.01,N1.02,N1,2022-08-14,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.02.01.T07,N1.02.01,N1.02,N1,2022-09-17,T07,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.02.01.T08,N1.02.01,N1.02,N1,2022-11-04,T08,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3
N1.02.01.T09,N1.02.01,N1.02,N1,2022-12-18,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.02.01.T10,N1.02.01,N1.02,N1,2023-03-05,T10,0,0,0,0,0,0,0,7,0,0,0,3,0,0,3
N1.02.01.T11,N1.02.01,N1.02,N1,2023-04-26,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.03.01.T01,N1.03.01,N1.03,N1,2021-10-17,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.03.01.T02,N1.03.01,N1.03,N1,2021-12-13,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.03.01.T03,N1.03.01,N1.03,N1,2022-02-01,T03,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0
N1.03.01.T04,N1.03.01,N1.03,N1,2022-05-06,T04,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
N1.03.01.T05,N1.03.01,N1.03,N1,2022-06-20,T05,1,0,0,2,0,0,0,4,0,0,0,0,1,0,3
N1.03.02.T06,N1.03.02,N1.03,N1,2022-08-13,T06,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3
N1.03.02.T07,N1.03.02,N1.03,N1,2022-09-16,T07,0,2,0,1,0,0,0,4,0,0,0,0,1,0,3
N1.03.02.T08,N1.03.02,N1.03,N1,2022-11-04,T08,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3
N1.03.02.T09,N1.03.02,N1.03,N1,2022-12-18,T09,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
N1.03.01.T10,N1.03.01,N1.03,N1,2023-03-04,T10,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1
N1.03.01.T11,N1.03.01,N1.03,N1,2023-04-25,T11,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0
N1.04.02.T01,N1.04.02,N1.04,N1,2021-10-17,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
N1.04.02.T02,N1.04.02,N1.04,N1,2021-12-13,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.04.01.T03,N1.04.01,N1.04,N1,2022-01-31,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.04.01.T04,N1.04.01,N1.04,N1,2022-05-05,T04,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0
N1.04.01.T05,N1.04.01,N1.04,N1,2022-06-20,T05,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
N1.04.02.T06,N1.04.02,N1.04,N1,2022-08-13,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N1.04.01.T07,N1.04.01,N1.04,N1,2022-09-16,T07,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.04.01.T08,N1.04.01,N1.04,N1,2022-11-01,T08,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.04.03.T09,N1.04.03,N1.04,N1,2022-12-20,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.04.02.T10,N1.04.02,N1.04,N1,2023-03-05,T10,0,4,0,0,0,0,0,7,0,0,0,0,1,0,0
N1.04.02.T11,N1.04.02,N1.04,N1,2023-04-26,T11,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.05.01.T01,N1.05.01,N1.05,N1,2021-10-17,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N1.05.01.T02,N1.05.01,N1.05,N1,2021-12-13,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.05.01.T03,N1.05.01,N1.05,N1,2022-02-01,T03,0,0,0,1,0,0,0,4,0,0,2,0,0,0,6
N1.05.01.T04,N1.05.01,N1.05,N1,2022-05-05,T04,0,2,0,0,0,0,0,6,0,0,0,0,2,0,0
N1.05.01.T05,N1.05.01,N1.05,N1,2022-06-20,T05,0,2,0,0,0,0,0,2,1,0,0,0,3,0,4
N1.05.01.T06,N1.05.01,N1.05,N1,2022-08-14,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N1.05.01.T07,N1.05.01,N1.05,N1,2022-09-17,T07,0,0,0,2,0,0,0,4,0,0,0,0,1,0,3
N1.05.01.T08,N1.05.01,N1.05,N1,2022-11-04,T08,0,0,0,0,0,0,0,5,0,0,0,0,0,1,6
N1.05.02.T09,N1.05.02,N1.05,N1,2022-12-19,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.05.01.T10,N1.05.01,N1.05,N1,2023-03-05,T10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
N1.05.01.T11,N1.05.01,N1.05,N1,2023-04-26,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.06.01.T01,N1.06.01,N1.06,N1,2021-10-17,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.06.01.T02,N1.06.01,N1.06,N1,2021-12-13,T02,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
N1.06.01.T03,N1.06.01,N1.06,N1,2022-02-17,T03,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0
N1.06.01.T04,N1.06.01,N1.06,N1,2022-05-06,T04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N1.06.01.T05,N1.06.01,N1.06,N1,2022-06-20,T05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.06.01.T06,N1.06.01,N1.06,N1,2022-08-13,T06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
N1.06.01.T07,N1.06.01,N1.06,N1,2022-09-16,T07,0,0,0,3,0,0,0,4,0,0,0,0,0,0,4
N1.06.01.T08,N1.06.01,N1.06,N1,2022-11-04,T08,0,0,0,2,0,0,0,5,0,0,0,0,0,0,4
N1.06.02.T09,N1.06.02,N1.06,N1,2022-12-18,T09,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3
N1.06.01.T10,N1.06.01,N1.06,N1,2023-03-04,T10,0,3,0,2,0,0,0,4,1,0,0,0,1,0,7
N1.06.01.T11,N1.06.01,N1.06,N1,2023-04-26,T11,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0
N1.07.01.T01,N1.07.01,N1.07,N1,2021-10-17,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.07.01.T02,N1.07.01,N1.07,N1,2021-12-13,T02,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5
N1.07.02.T03,N1.07.02,N1.07,N1,2022-02-01,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.07.01.T04,N1.07.01,N1.07,N1,2022-05-05,T04,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4
N1.07.02.T05,N1.07.02,N1.07,N1,2022-06-20,T05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.07.01.T06,N1.07.01,N1.07,N1,2022-08-14,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N1.07.02.T07,N1.07.02,N1.07,N1,2022-09-17,T07,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
N1.07.03.T08,N1.07.03,N1.07,N1,2022-11-04,T08,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
N1.07.01.T09,N1.07.01,N1.07,N1,2022-12-18,T09,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0
N1.07.01.T10,N1.07.01,N1.07,N1,2023-03-05,T10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.07.01.T11,N1.07.01,N1.07,N1,2023-04-26,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
N1.08.01.T01,N1.08.01,N1.08,N1,2021-10-17,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1.08.01.T02,N1.08.01,N1.08,N1,2021-12-13,T02,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
N1.08.01.T03,N1.08.01,N1.08,N1,2022-02-01,T03,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
