site_coode,Time_Point,n,n_positive,prev,sample_mo
S1,T01,221,78,35.3,Sep_2021
S2,T01,265,160,60.4,Aug_2021
S3,T01,219,83,37.9,Jul_2021
S5,T01,277,106,38.3,Aug_2021
S6,T01,257,122,47.5,Aug_2021
N1,T01,292,76,26.0,Oct_2021
N2,T01,257,39,15.2,Sep_2021
N3,T01,239,65,27.2,Sep_2021
N4,T01,287,44,15.3,Sep_2021
N5,T01,171,59,34.5,Oct_2021
S1,T02,177,16,9.0,Dec_2021
S2,T02,208,55,26.4,Dec_2021
S3,T02,159,22,13.8,Nov_2021
S5,T02,222,39,17.6,Nov_2021
S6,T02,208,63,30.3,Nov_2021
N1,T02,246,20,8.1,Dec_2021
N2,T02,239,3,1.3,Dec_2021
N3,T02,198,8,4.0,Dec_2021
N4,T02,211,19,9.0,Dec_2021
N5,T02,122,32,26.2,Dec_2021
S1,T03,206,13,6.3,Jan_2022
S2,T03,239,54,22.6,Jan_2022
S3,T03,159,23,14.5,Jan_2022
S5,T03,261,35,13.4,Jan_2022
S6,T03,219,66,30.1,Jan_2022
N1,T03,285,28,9.8,Feb_2022
N2,T03,259,15,5.8,Feb_2022
N3,T03,233,6,2.6,Mar_2022
N4,T03,278,20,7.2,Mar_2022
N5,T03,181,51,28.2,Mar_2022
S1,T04,237,12,5.1,Apr_2022
S2,T04,300,59,19.7,Apr_2022
S3,T04,219,45,20.5,Apr_2022
S5,T04,290,66,22.8,Apr_2022
S6,T04,241,61,25.3,Mar_2022
N1,T04,289,17,5.9,May_2022
N2,T04,248,4,1.6,May_2022
N3,T04,214,4,1.9,May_2022
N4,T04,270,10,3.7,May_2022
N5,T04,187,47,25.1,Apr_2022
S1,T05,229,8,3.5,May_2022
S2,T05,286,39,13.6,May_2022
S3,T05,238,60,25.2,May_2022
S5,T05,240,46,19.2,May_2022
S6,T05,238,72,30.3,May_2022
N1,T05,271,14,5.2,Jun_2022
N2,T05,235,6,2.6,Jun_2022
N3,T05,220,9,4.1,Jun_2022
N4,T05,250,13,5.2,Jun_2022
N5,T05,204,76,37.3,Jun_2022
S1,T06,232,3,1.3,Jul_2022
S2,T06,281,14,5.0,Jul_2022
S3,T06,196,15,7.7,Jul_2022
S5,T06,225,22,9.8,Jul_2022
S6,T06,234,43,18.4,Jul_2022
N1,T06,282,11,3.9,Aug_2022
N2,T06,263,8,3.0,Jul_2022
N3,T06,224,5,2.2,Jul_2022
N4,T06,262,7,2.7,Jul_2022
N5,T06,191,35,18.3,Aug_2022
S1,T07,224,1,0.4,Sep_2022
S2,T07,290,12,4.1,Aug_2022
S3,T07,227,14,6.2,Aug_2022
S5,T07,223,17,7.6,Aug_2022
S6,T07,234,38,16.2,Aug_2022
N1,T07,251,10,4.0,Sep_2022
N2,T07,246,5,2.0,Sep_2022
N3,T07,215,7,3.3,Sep_2022
N4,T07,232,6,2.6,Sep_2022
N5,T07,191,23,12.0,Sep_2022
S1,T08,215,2,0.9,Oct_2022
S2,T08,284,9,3.2,Oct_2022
S3,T08,220,2,0.9,Oct_2022
S5,T08,229,16,7.0,Oct_2022
S6,T08,212,37,17.5,Oct_2022
N1,T08,276,3,1.1,Nov_2022
N2,T08,249,5,2.0,Nov_2022
N3,T08,212,2,0.9,Nov_2022
N4,T08,236,3,1.3,Nov_2022
N5,T08,203,24,11.8,Nov_2022
S1,T09,207,0,0.0,Dec_2022
S2,T09,248,6,2.4,Nov_2022
S3,T09,203,5,2.5,Nov_2022
S5,T09,235,12,5.1,Nov_2022
S6,T09,234,36,15.4,Nov_2022
N1,T09,260,1,0.4,Dec_2022
N2,T09,241,9,3.7,Dec_2022
N3,T09,206,7,3.4,Dec_2022
N4,T09,246,10,4.1,Dec_2022
N5,T09,182,21,11.5,Dec_2022
S1,T10,251,1,0.4,Jan_2023
S2,T10,308,18,5.8,Feb_2023
S3,T10,246,25,10.2,Feb_2023
S5,T10,271,45,16.6,Feb_2023
S6,T10,245,102,41.6,Feb_2023
N1,T10,318,23,7.2,Mar_2023
N2,T10,274,21,7.7,Mar_2023
N3,T10,243,26,10.7,Mar_2023
N4,T10,255,25,9.8,Feb_2023
N5,T10,199,44,22.1,Feb_2023
S1,T11,247,11,4.5,Mar_2023
S2,T11,315,25,7.9,Mar_2023
S3,T11,246,40,16.3,Mar_2023
S5,T11,217,45,20.7,Mar_2023
S6,T11,243,93,38.3,Mar_2023
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
